,,,,,All Type of Report (All Grades) for 01-Jan-2021 to 02-Jul-2026,,,,
State,District,Market,Commodity Group,Commodity,Date,Arrival Quantity 01-01-2021 to 02-07-2026,Arrival Unit,Modal Price 01-01-2021 to 02-07-2026,Price Unit
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,07-01-2021,1167.90,Metric Tonnes,931.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,07-01-2021,32.70,Metric Tonnes,1400.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,08-01-2021,645.00,Metric Tonnes,931.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,08-01-2021,42.70,Metric Tonnes,1200.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,09-01-2021,635.70,Metric Tonnes,917.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,09-01-2021,54.80,Metric Tonnes,1200.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,11-01-2021,404.10,Metric Tonnes,869.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,11-01-2021,51.80,Metric Tonnes,1200.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,12-01-2021,1185.70,Metric Tonnes,869.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,12-01-2021,46.90,Metric Tonnes,1200.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,13-01-2021,1009.80,Metric Tonnes,869.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,13-01-2021,46.20,Metric Tonnes,1200.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,14-01-2021,1004.00,Metric Tonnes,869.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,14-01-2021,43.90,Metric Tonnes,1000.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,15-01-2021,1294.90,Metric Tonnes,860.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,15-01-2021,36.80,Metric Tonnes,1000.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,16-01-2021,1504.30,Metric Tonnes,826.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,16-01-2021,39.40,Metric Tonnes,1000.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,18-01-2021,381.70,Metric Tonnes,811.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,18-01-2021,41.50,Metric Tonnes,900.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,19-01-2021,1530.30,Metric Tonnes,811.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,19-01-2021,42.50,Metric Tonnes,900.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,20-01-2021,1078.10,Metric Tonnes,811.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,20-01-2021,44.30,Metric Tonnes,750.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,21-01-2021,583.80,Metric Tonnes,2250.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,21-01-2021,1249.10,Metric Tonnes,811.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,21-01-2021,52.10,Metric Tonnes,750.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,22-01-2021,1317.40,Metric Tonnes,726.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,22-01-2021,51.60,Metric Tonnes,750.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,23-01-2021,1424.20,Metric Tonnes,726.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,23-01-2021,39.00,Metric Tonnes,750.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,25-01-2021,633.10,Metric Tonnes,726.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,25-01-2021,36.90,Metric Tonnes,750.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,27-01-2021,94.20,Metric Tonnes,711.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,27-01-2021,33.80,Metric Tonnes,750.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,28-01-2021,1469.50,Metric Tonnes,711.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,28-01-2021,49.00,Metric Tonnes,750.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,29-01-2021,1443.00,Metric Tonnes,717.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,29-01-2021,45.90,Metric Tonnes,750.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,30-01-2021,983.60,Metric Tonnes,717.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,30-01-2021,48.60,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,03-02-2021,1385.20,Metric Tonnes,643.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,04-02-2021,1160.50,Metric Tonnes,631.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,04-02-2021,42.20,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,05-02-2021,37.60,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,06-02-2021,1399.60,Metric Tonnes,557.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,06-02-2021,35.40,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,08-02-2021,367.50,Metric Tonnes,569.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,08-02-2021,44.50,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,09-02-2021,1602.70,Metric Tonnes,569.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,09-02-2021,45.50,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,10-02-2021,1275.60,Metric Tonnes,526.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,10-02-2021,50.30,Metric Tonnes,550.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,11-02-2021,1109.20,Metric Tonnes,509.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,11-02-2021,51.90,Metric Tonnes,450.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,12-02-2021,1110.00,Metric Tonnes,509.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,12-02-2021,46.80,Metric Tonnes,450.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,13-02-2021,1045.80,Metric Tonnes,509.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,13-02-2021,45.50,Metric Tonnes,450.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,15-02-2021,276.20,Metric Tonnes,509.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,15-02-2021,41.50,Metric Tonnes,450.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,16-02-2021,1613.80,Metric Tonnes,483.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,16-02-2021,52.20,Metric Tonnes,450.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,17-02-2021,970.10,Metric Tonnes,483.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,17-02-2021,53.50,Metric Tonnes,550.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,18-02-2021,1122.50,Metric Tonnes,483.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,18-02-2021,47.50,Metric Tonnes,550.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,19-02-2021,1030.50,Metric Tonnes,483.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,19-02-2021,55.70,Metric Tonnes,550.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,20-02-2021,1195.40,Metric Tonnes,483.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,20-02-2021,49.90,Metric Tonnes,550.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,22-02-2021,179.20,Metric Tonnes,483.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,22-02-2021,49.10,Metric Tonnes,550.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,23-02-2021,1094.00,Metric Tonnes,483.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,23-02-2021,44.10,Metric Tonnes,550.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,24-02-2021,947.40,Metric Tonnes,483.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,24-02-2021,39.30,Metric Tonnes,450.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,25-02-2021,1205.90,Metric Tonnes,503.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,25-02-2021,45.20,Metric Tonnes,500.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,26-02-2021,1153.00,Metric Tonnes,503.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,26-02-2021,46.80,Metric Tonnes,500.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,27-02-2021,1046.40,Metric Tonnes,503.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,27-02-2021,49.90,Metric Tonnes,500.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,03-03-2021,1252.90,Metric Tonnes,563.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,03-03-2021,40.90,Metric Tonnes,500.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,04-03-2021,1256.60,Metric Tonnes,563.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,04-03-2021,36.10,Metric Tonnes,600.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,05-03-2021,1211.60,Metric Tonnes,563.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,05-03-2021,39.60,Metric Tonnes,600.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,06-03-2021,954.50,Metric Tonnes,563.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,06-03-2021,43.10,Metric Tonnes,800.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,08-03-2021,375.60,Metric Tonnes,566.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,08-03-2021,36.60,Metric Tonnes,800.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,09-03-2021,2048.60,Metric Tonnes,566.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,09-03-2021,36.70,Metric Tonnes,800.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,11-03-2021,1076.00,Metric Tonnes,566.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,11-03-2021,32.70,Metric Tonnes,800.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,12-03-2021,1082.10,Metric Tonnes,566.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,12-03-2021,36.30,Metric Tonnes,800.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,13-03-2021,925.10,Metric Tonnes,1563.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,13-03-2021,1251.80,Metric Tonnes,566.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,13-03-2021,54.50,Metric Tonnes,800.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,15-03-2021,299.70,Metric Tonnes,1563.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,15-03-2021,168.90,Metric Tonnes,566.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,15-03-2021,45.40,Metric Tonnes,800.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Onion,16-03-2021,1261.40,Metric Tonnes,1513.00,Rs./Quintal
