date,market,arrival_qty_mt,modal_price_rs_quintal,month,season,producing_region,delhi_temp_max,delhi_temp_min,delhi_rainfall,delhi_humidity,region_temp_max,region_temp_min,region_rainfall,region_humidity
2021-01-21,Azadpur APMC,583.8,2250.0,1,winter,nashik,20.1,9.1,0.0,79,29.3,15.6,0.0,68.0
2021-03-13,Azadpur APMC,925.1,1563.0,3,summer,nashik,30.1,16.0,0.0,62,33.1,18.5,0.0,33.0
2021-03-15,Azadpur APMC,299.7,1563.0,3,summer,nashik,31.7,17.5,0.0,52,33.5,17.5,0.0,37.0
2021-03-16,Azadpur APMC,1261.4,1513.0,3,summer,nashik,32.3,17.0,0.0,49,33.6,18.7,0.0,37.0
2021-03-17,Azadpur APMC,1120.7,1513.0,3,summer,nashik,32.9,17.0,0.0,44,32.5,18.2,0.0,41.0
2021-03-18,Azadpur APMC,1022.3,1513.0,3,summer,nashik,32.6,17.4,0.0,49,33.5,17.6,0.0,34.0
2021-03-19,Azadpur APMC,760.4,1354.0,3,summer,nashik,31.7,19.4,0.0,52,33.3,18.5,0.0,37.0
2021-03-20,Azadpur APMC,814.9,1300.0,3,summer,nashik,32.9,17.3,0.0,45,33.8,18.5,0.0,33.0
2021-03-22,Azadpur APMC,94.3,1300.0,3,summer,nashik,33.2,18.7,0.3,49,34.3,20.3,0.0,31.0
2021-03-23,Azadpur APMC,1213.9,1333.0,3,summer,nashik,32.1,19.8,0.5,49,34.4,20.7,0.0,30.0
2021-03-24,Azadpur APMC,928.0,1333.0,3,summer,nashik,31.2,16.7,0.0,45,34.6,20.6,0.0,30.0
2021-03-25,Azadpur APMC,626.7,1333.0,3,summer,nashik,30.7,16.7,0.0,40,33.3,20.3,0.0,33.0
2021-03-26,Azadpur APMC,1146.1,1242.0,3,summer,nashik,31.2,16.2,0.0,46,33.8,18.4,0.0,37.0
2021-03-27,Azadpur APMC,1232.8,1242.0,3,summer,nashik,33.0,17.9,0.0,46,34.0,19.0,0.0,45.0
2021-03-30,Azadpur APMC,242.2,1242.0,3,summer,nashik,37.0,23.3,0.0,33,34.0,19.7,0.0,41.0
2021-03-31,Azadpur APMC,945.0,1242.0,3,summer,nashik,34.4,21.6,0.0,23,34.9,18.9,0.0,28.0
2022-01-01,Azadpur APMC,1066.8,2000.0,1,winter,nashik,18.1,5.2,0.0,78,27.1,13.5,0.0,72.0
2022-01-03,Azadpur APMC,277.4,2000.0,1,winter,nashik,20.1,7.0,0.0,77,27.6,13.1,0.0,67.0
2022-01-04,Azadpur APMC,1021.1,1982.0,1,winter,nashik,21.9,8.0,0.0,74,23.5,12.3,0.0,74.0
2022-01-05,Azadpur APMC,643.0,1982.0,1,winter,nashik,15.4,11.7,9.4,85,23.6,12.8,0.0,74.0
2022-01-07,Azadpur APMC,523.2,1982.0,1,winter,nashik,19.8,12.4,1.3,86,26.4,14.1,0.0,75.0
2022-01-08,Azadpur APMC,835.3,2018.0,1,winter,nashik,17.2,14.0,31.1,90,25.9,15.0,0.2,78.0
