date,market,arrival_qty_mt,modal_price_rs_quintal,month,season,producing_region,delhi_temp_max,delhi_temp_min,delhi_rainfall,delhi_humidity,region_temp_max,region_temp_min,region_rainfall,region_humidity
2021-01-07,Azadpur APMC,1167.9,931.0,1,winter,agra,19.3,11.1,0.0,87,20.2,5.0,0.0,69.0
2021-01-08,Azadpur APMC,645.0,931.0,1,winter,agra,18.8,9.3,0.0,88,20.9,10.4,1.1,71.0
2021-01-09,Azadpur APMC,635.7,917.0,1,winter,agra,19.7,10.9,0.0,83,21.6,12.8,6.8,84.0
2021-01-11,Azadpur APMC,404.1,869.0,1,winter,agra,17.7,7.1,0.0,82,24.6,14.6,0.0,77.0
2021-01-12,Azadpur APMC,1185.7,869.0,1,winter,agra,18.0,6.4,0.0,81,22.1,15.4,5.3,85.0
2021-01-13,Azadpur APMC,1009.8,869.0,1,winter,agra,18.1,5.4,0.0,80,22.0,12.8,0.0,82.0
2021-01-14,Azadpur APMC,1004.0,869.0,1,winter,agra,18.5,4.9,0.0,81,19.5,10.3,9.7,87.0
2021-01-15,Azadpur APMC,1294.9,860.0,1,winter,agra,19.0,7.4,0.0,85,21.7,12.7,0.0,84.0
2021-01-16,Azadpur APMC,1504.3,826.0,1,winter,agra,16.7,5.3,0.0,89,20.2,10.8,0.0,74.0
2021-01-18,Azadpur APMC,381.7,811.0,1,winter,agra,17.9,10.3,2.5,86,19.5,5.7,0.0,75.0
2021-01-19,Azadpur APMC,1530.3,811.0,1,winter,agra,20.6,9.6,0.0,88,19.4,5.5,0.0,74.0
2021-01-20,Azadpur APMC,1078.1,811.0,1,winter,agra,19.8,9.9,0.0,85,19.6,5.3,0.0,77.0
2021-01-21,Azadpur APMC,1249.1,811.0,1,winter,agra,20.1,9.1,0.0,79,19.6,5.0,0.0,83.0
2021-01-22,Azadpur APMC,1317.4,726.0,1,winter,agra,20.8,7.4,0.0,79,20.2,6.5,0.0,83.0
2021-01-23,Azadpur APMC,1424.2,726.0,1,winter,agra,20.9,8.8,0.0,79,21.4,7.4,0.0,78.0
2021-01-25,Azadpur APMC,633.1,726.0,1,winter,agra,18.2,6.2,0.0,82,22.1,9.7,0.0,81.0
2021-01-27,Azadpur APMC,94.2,711.0,1,winter,agra,18.6,6.3,0.0,76,22.5,9.2,0.0,70.0
2021-01-28,Azadpur APMC,1469.5,711.0,1,winter,agra,17.9,5.0,0.0,78,22.8,7.5,0.0,73.0
2021-01-29,Azadpur APMC,1443.0,717.0,1,winter,agra,18.4,5.7,0.0,76,22.9,9.2,0.0,77.0
2021-01-30,Azadpur APMC,983.6,717.0,1,winter,agra,18.9,6.3,0.0,71,20.9,9.3,0.0,81.0
2021-02-03,Azadpur APMC,1385.2,643.0,2,winter,agra,23.5,11.8,0.1,75,19.0,5.4,0.0,76.0
2021-02-04,Azadpur APMC,1160.5,631.0,2,winter,agra,21.1,11.1,8.3,81,18.9,6.1,0.0,75.0
2021-02-06,Azadpur APMC,1399.6,557.0,2,winter,agra,19.8,8.6,0.0,75,21.2,7.0,0.0,65.0
2021-02-08,Azadpur APMC,367.5,569.0,2,winter,agra,22.2,8.5,0.0,77,24.7,7.9,0.0,67.0
2021-02-09,Azadpur APMC,1602.7,569.0,2,winter,agra,23.7,9.4,0.0,74,25.8,10.3,0.0,67.0
2021-02-10,Azadpur APMC,1275.6,526.0,2,winter,agra,24.8,12.1,0.0,74,24.7,14.1,0.0,64.0
2021-02-11,Azadpur APMC,1109.2,509.0,2,winter,agra,23.6,10.8,0.0,77,21.8,12.0,0.9,76.0
2021-02-12,Azadpur APMC,1110.0,509.0,2,winter,agra,24.1,11.5,0.0,78,21.1,10.3,0.0,72.0
2021-02-13,Azadpur APMC,1045.8,509.0,2,winter,agra,23.6,11.3,0.0,80,22.4,9.4,0.0,71.0
2021-02-15,Azadpur APMC,276.2,509.0,2,winter,agra,26.7,12.4,0.4,70,25.9,9.4,0.0,67.0
2021-02-16,Azadpur APMC,1613.8,483.0,2,winter,agra,26.4,12.4,0.0,71,26.7,11.7,0.0,67.0
2021-02-17,Azadpur APMC,970.1,483.0,2,winter,agra,25.2,12.1,0.0,72,26.3,10.1,0.0,72.0
2021-02-18,Azadpur APMC,1122.5,483.0,2,winter,agra,25.1,11.3,0.0,73,24.5,11.6,0.0,76.0
2021-02-19,Azadpur APMC,1030.5,483.0,2,winter,agra,25.2,11.1,0.0,75,25.8,10.5,0.0,73.0
2021-02-20,Azadpur APMC,1195.4,483.0,2,winter,agra,25.6,11.6,0.0,70,26.4,11.3,0.0,72.0
2021-02-22,Azadpur APMC,179.2,483.0,2,winter,agra,27.3,12.4,0.0,68,28.0,14.3,0.8,67.0
2021-02-23,Azadpur APMC,1094.0,483.0,2,winter,agra,29.3,12.4,0.0,62,27.3,12.1,0.0,66.0
2021-02-24,Azadpur APMC,947.4,483.0,2,winter,agra,29.9,13.3,0.0,61,26.5,12.4,0.0,65.0
2021-02-25,Azadpur APMC,1205.9,503.0,2,winter,agra,30.2,13.9,0.0,61,26.7,12.4,0.0,65.0
2021-02-26,Azadpur APMC,1153.0,503.0,2,winter,agra,30.7,15.1,0.0,59,26.6,12.3,0.0,66.0
2021-02-27,Azadpur APMC,1046.4,503.0,2,winter,agra,30.2,18.5,0.0,44,27.2,11.2,0.0,63.0
2021-03-03,Azadpur APMC,1252.9,563.0,3,summer,agra,29.3,14.3,0.0,42,31.3,14.1,0.0,52.0
2021-03-04,Azadpur APMC,1256.6,563.0,3,summer,agra,31.0,15.1,0.0,49,32.2,15.1,0.0,46.0
2021-03-05,Azadpur APMC,1211.6,563.0,3,summer,agra,30.2,15.5,0.0,45,32.3,19.3,0.0,44.0
2021-03-06,Azadpur APMC,954.5,563.0,3,summer,agra,30.7,15.1,0.0,44,30.5,18.3,0.0,48.0
2021-03-08,Azadpur APMC,375.6,566.0,3,summer,agra,31.1,19.3,0.0,51,28.7,14.0,0.0,42.0
2021-03-09,Azadpur APMC,2048.6,566.0,3,summer,agra,31.9,18.3,0.1,59,30.5,13.0,0.0,41.0
2021-03-11,Azadpur APMC,1076.0,566.0,3,summer,agra,32.5,17.1,0.0,53,31.4,15.6,0.0,40.0
2021-03-12,Azadpur APMC,1082.1,566.0,3,summer,agra,29.9,17.9,0.9,56,32.5,15.0,0.0,38.0
2021-03-13,Azadpur APMC,1251.8,566.0,3,summer,agra,30.1,16.0,0.0,62,34.1,17.2,0.0,37.0
2021-03-15,Azadpur APMC,168.9,566.0,3,summer,agra,31.7,17.5,0.0,52,33.6,20.4,0.0,52.0
2021-03-16,Azadpur APMC,1549.4,566.0,3,summer,agra,32.3,17.0,0.0,49,33.2,19.6,0.0,48.0
2021-03-17,Azadpur APMC,1273.4,566.0,3,summer,agra,32.9,17.0,0.0,44,34.0,17.6,0.0,47.0
2021-03-18,Azadpur APMC,1444.7,489.0,3,summer,agra,32.6,17.4,0.0,49,31.0,20.6,0.0,50.0
2021-03-19,Azadpur APMC,1302.2,489.0,3,summer,agra,31.7,19.4,0.0,52,30.9,18.6,0.2,56.0
