date,market,arrival_qty_mt,modal_price_rs_quintal,month,season,producing_region,delhi_temp_max,delhi_temp_min,delhi_rainfall,delhi_humidity,region_temp_max,region_temp_min,region_rainfall,region_humidity
2021-01-07,Azadpur APMC,32.7,1400.0,1,winter,agra,19.3,11.1,0.0,87,22.1,15.4,5.3,85.0
2021-01-08,Azadpur APMC,42.7,1200.0,1,winter,agra,18.8,9.3,0.0,88,22.0,12.8,0.0,82.0
2021-01-09,Azadpur APMC,54.8,1200.0,1,winter,agra,19.7,10.9,0.0,83,19.5,10.3,9.7,87.0
2021-01-11,Azadpur APMC,51.8,1200.0,1,winter,agra,17.7,7.1,0.0,82,20.2,10.8,0.0,74.0
2021-01-12,Azadpur APMC,46.9,1200.0,1,winter,agra,18.0,6.4,0.0,81,18.2,8.2,0.0,76.0
2021-01-13,Azadpur APMC,46.2,1200.0,1,winter,agra,18.1,5.4,0.0,80,19.5,5.7,0.0,75.0
2021-01-14,Azadpur APMC,43.9,1000.0,1,winter,agra,18.5,4.9,0.0,81,19.4,5.5,0.0,74.0
2021-01-15,Azadpur APMC,36.8,1000.0,1,winter,agra,19.0,7.4,0.0,85,19.6,5.3,0.0,77.0
2021-01-16,Azadpur APMC,39.4,1000.0,1,winter,agra,16.7,5.3,0.0,89,19.6,5.0,0.0,83.0
2021-01-18,Azadpur APMC,41.5,900.0,1,winter,agra,17.9,10.3,2.5,86,21.4,7.4,0.0,78.0
2021-01-19,Azadpur APMC,42.5,900.0,1,winter,agra,20.6,9.6,0.0,88,19.8,11.8,1.1,81.0
2021-01-20,Azadpur APMC,44.3,750.0,1,winter,agra,19.8,9.9,0.0,85,22.1,9.7,0.0,81.0
2021-01-21,Azadpur APMC,52.1,750.0,1,winter,agra,20.1,9.1,0.0,79,21.6,10.4,0.0,82.0
2021-01-22,Azadpur APMC,51.6,750.0,1,winter,agra,20.8,7.4,0.0,79,22.5,9.2,0.0,70.0
2021-01-23,Azadpur APMC,39.0,750.0,1,winter,agra,20.9,8.8,0.0,79,22.8,7.5,0.0,73.0
2021-01-25,Azadpur APMC,36.9,750.0,1,winter,agra,18.2,6.2,0.0,82,20.9,9.3,0.0,81.0
2021-01-27,Azadpur APMC,33.8,750.0,1,winter,agra,18.6,6.3,0.0,76,18.1,6.1,0.0,79.0
2021-01-28,Azadpur APMC,49.0,750.0,1,winter,agra,17.9,5.0,0.0,78,19.6,6.5,0.0,70.0
2021-01-29,Azadpur APMC,45.9,750.0,1,winter,agra,18.4,5.7,0.0,76,19.0,5.4,0.0,76.0
2021-01-30,Azadpur APMC,48.6,650.0,1,winter,agra,18.9,6.3,0.0,71,18.9,6.1,0.0,75.0
2021-02-04,Azadpur APMC,42.2,650.0,2,winter,agra,21.1,11.1,8.3,81,25.8,10.3,0.0,67.0
2021-02-05,Azadpur APMC,37.6,650.0,2,winter,agra,19.5,8.6,0.0,84,24.7,14.1,0.0,64.0
2021-02-06,Azadpur APMC,35.4,650.0,2,winter,agra,19.8,8.6,0.0,75,21.8,12.0,0.9,76.0
2021-02-08,Azadpur APMC,44.5,650.0,2,winter,agra,22.2,8.5,0.0,77,22.4,9.4,0.0,71.0
2021-02-09,Azadpur APMC,45.5,650.0,2,winter,agra,23.7,9.4,0.0,74,23.5,8.8,0.0,70.0
2021-02-10,Azadpur APMC,50.3,550.0,2,winter,agra,24.8,12.1,0.0,74,25.9,9.4,0.0,67.0
2021-02-11,Azadpur APMC,51.9,450.0,2,winter,agra,23.6,10.8,0.0,77,26.7,11.7,0.0,67.0
2021-02-12,Azadpur APMC,46.8,450.0,2,winter,agra,24.1,11.5,0.0,78,26.3,10.1,0.0,72.0
2021-02-13,Azadpur APMC,45.5,450.0,2,winter,agra,23.6,11.3,0.0,80,24.5,11.6,0.0,76.0
2021-02-15,Azadpur APMC,41.5,450.0,2,winter,agra,26.7,12.4,0.4,70,26.4,11.3,0.0,72.0
2021-02-16,Azadpur APMC,52.2,450.0,2,winter,agra,26.4,12.4,0.0,71,28.3,12.5,0.0,67.0
2021-02-17,Azadpur APMC,53.5,550.0,2,winter,agra,25.2,12.1,0.0,72,28.0,14.3,0.8,67.0
2021-02-18,Azadpur APMC,47.5,550.0,2,winter,agra,25.1,11.3,0.0,73,27.3,12.1,0.0,66.0
2021-02-19,Azadpur APMC,55.7,550.0,2,winter,agra,25.2,11.1,0.0,75,26.5,12.4,0.0,65.0
2021-02-20,Azadpur APMC,49.9,550.0,2,winter,agra,25.6,11.6,0.0,70,26.7,12.4,0.0,65.0
2021-02-22,Azadpur APMC,49.1,550.0,2,winter,agra,27.3,12.4,0.0,68,27.2,11.2,0.0,63.0
2021-02-23,Azadpur APMC,44.1,550.0,2,winter,agra,29.3,12.4,0.0,62,28.7,12.2,0.0,61.0
2021-02-24,Azadpur APMC,39.3,450.0,2,winter,agra,29.9,13.3,0.0,61,29.7,12.9,0.0,59.0
2021-02-25,Azadpur APMC,45.2,500.0,2,winter,agra,30.2,13.9,0.0,61,31.0,12.8,0.0,52.0
2021-02-26,Azadpur APMC,46.8,500.0,2,winter,agra,30.7,15.1,0.0,59,31.3,14.1,0.0,52.0
2021-02-27,Azadpur APMC,49.9,500.0,2,winter,agra,30.2,18.5,0.0,44,32.2,15.1,0.0,46.0
2021-03-03,Azadpur APMC,40.9,500.0,3,summer,agra,29.3,14.3,0.0,42,28.7,14.0,0.0,42.0
2021-03-04,Azadpur APMC,36.1,600.0,3,summer,agra,31.0,15.1,0.0,49,30.5,13.0,0.0,41.0
2021-03-05,Azadpur APMC,39.6,600.0,3,summer,agra,30.2,15.5,0.0,45,32.4,13.5,0.0,43.0
2021-03-06,Azadpur APMC,43.1,800.0,3,summer,agra,30.7,15.1,0.0,44,31.4,15.6,0.0,40.0
2021-03-08,Azadpur APMC,36.6,800.0,3,summer,agra,31.1,19.3,0.0,51,34.1,17.2,0.0,37.0
2021-03-09,Azadpur APMC,36.7,800.0,3,summer,agra,31.9,18.3,0.1,59,33.5,19.3,0.0,41.0
2021-03-11,Azadpur APMC,32.7,800.0,3,summer,agra,32.5,17.1,0.0,53,33.2,19.6,0.0,48.0
2021-03-12,Azadpur APMC,36.3,800.0,3,summer,agra,29.9,17.9,0.9,56,34.0,17.6,0.0,47.0
2021-03-13,Azadpur APMC,54.5,800.0,3,summer,agra,30.1,16.0,0.0,62,31.0,20.6,0.0,50.0
2021-03-15,Azadpur APMC,45.4,800.0,3,summer,agra,31.7,17.5,0.0,52,31.6,17.3,0.0,53.0
2021-03-16,Azadpur APMC,50.0,650.0,3,summer,agra,32.3,17.0,0.0,49,33.2,17.7,0.0,46.0
2021-03-17,Azadpur APMC,47.1,650.0,3,summer,agra,32.9,17.0,0.0,44,33.5,18.7,0.0,46.0
2021-03-18,Azadpur APMC,49.8,650.0,3,summer,agra,32.6,17.4,0.0,49,34.3,17.5,0.0,43.0
2021-03-19,Azadpur APMC,50.3,650.0,3,summer,agra,31.7,19.4,0.0,52,34.0,19.0,0.0,44.0
2021-03-20,Azadpur APMC,46.7,650.0,3,summer,agra,32.9,17.3,0.0,45,33.0,19.8,0.4,50.0
2021-03-22,Azadpur APMC,33.4,650.0,3,summer,agra,33.2,18.7,0.3,49,34.4,18.7,0.0,38.0
2021-03-23,Azadpur APMC,41.9,650.0,3,summer,agra,32.1,19.8,0.5,49,33.9,18.9,0.1,41.0
2021-03-24,Azadpur APMC,39.8,650.0,3,summer,agra,31.2,16.7,0.0,45,31.5,20.1,0.1,48.0
2021-03-25,Azadpur APMC,45.7,650.0,3,summer,agra,30.7,16.7,0.0,40,31.7,19.3,0.2,47.0
2021-03-26,Azadpur APMC,41.0,650.0,3,summer,agra,31.2,16.2,0.0,46,32.0,18.6,0.0,34.0
2021-03-27,Azadpur APMC,44.4,650.0,3,summer,agra,33.0,17.9,0.0,46,32.5,17.6,0.0,45.0
2021-03-30,Azadpur APMC,14.0,750.0,3,summer,agra,37.0,23.3,0.0,33,38.0,20.2,0.0,33.0
2021-03-31,Azadpur APMC,36.7,750.0,3,summer,agra,34.4,21.6,0.0,23,39.2,21.9,0.0,21.0
2021-04-05,Azadpur APMC,29.0,650.0,4,summer,solan,37.8,19.2,0.0,28,25.7,7.4,0.0,30.0
2021-04-06,Azadpur APMC,35.5,650.0,4,summer,solan,37.5,22.5,0.0,29,22.9,13.5,0.1,44.0
2021-04-07,Azadpur APMC,38.0,850.0,4,summer,solan,35.6,21.4,0.0,31,22.9,12.4,3.0,45.0
2021-04-08,Azadpur APMC,37.5,850.0,4,summer,solan,33.9,20.3,0.0,26,22.9,11.9,3.9,51.0
2021-04-09,Azadpur APMC,41.3,850.0,4,summer,solan,35.2,18.7,0.0,23,23.2,9.5,0.0,50.0
2021-04-10,Azadpur APMC,36.6,850.0,4,summer,solan,36.3,19.3,0.0,19,24.1,7.7,0.0,41.0
2021-04-12,Azadpur APMC,34.8,850.0,4,summer,solan,38.0,20.4,0.0,21,26.4,10.2,0.0,31.0
2021-04-13,Azadpur APMC,33.4,650.0,4,summer,solan,38.1,21.3,0.0,24,24.9,11.4,0.0,37.0
2021-04-14,Azadpur APMC,37.4,550.0,4,summer,solan,38.6,22.5,0.0,23,26.9,11.7,0.0,32.0
2021-04-15,Azadpur APMC,42.7,550.0,4,summer,solan,38.6,22.3,0.0,20,26.6,13.3,0.0,33.0
2021-04-16,Azadpur APMC,41.2,550.0,4,summer,solan,38.7,23.0,2.8,32,27.1,12.2,0.1,35.0
2021-04-17,Azadpur APMC,33.7,550.0,4,summer,solan,34.8,20.4,0.2,44,27.7,11.4,5.1,44.0
2021-04-19,Azadpur APMC,20.4,550.0,4,summer,solan,37.2,21.3,0.0,31,21.9,9.8,1.1,64.0
2021-04-20,Azadpur APMC,32.5,550.0,4,summer,solan,33.7,22.0,0.0,29,23.7,8.6,0.0,49.0
2021-04-21,Azadpur APMC,36.2,550.0,4,summer,solan,31.7,19.0,0.1,41,19.7,9.3,10.4,62.0
2021-04-22,Azadpur APMC,42.1,550.0,4,summer,solan,32.8,20.1,0.0,42,18.2,10.8,35.3,76.0
2021-04-23,Azadpur APMC,29.2,450.0,4,summer,solan,34.9,22.6,0.0,35,18.5,10.2,15.3,79.0
2021-04-24,Azadpur APMC,29.9,450.0,4,summer,solan,33.6,18.8,0.0,36,16.4,8.3,29.7,82.0
2021-04-26,Azadpur APMC,21.7,650.0,4,summer,solan,38.8,20.9,0.0,26,24.4,6.5,0.0,55.0
2021-04-27,Azadpur APMC,27.8,650.0,4,summer,solan,41.1,23.6,0.0,24,25.9,8.4,0.0,53.0
2021-04-28,Azadpur APMC,28.0,650.0,4,summer,solan,41.5,24.7,0.0,21,27.6,11.9,0.0,48.0
2021-04-29,Azadpur APMC,28.5,650.0,4,summer,solan,40.9,25.0,0.0,23,28.4,13.0,0.0,45.0
2021-04-30,Azadpur APMC,28.6,650.0,4,summer,solan,39.1,24.6,0.0,29,28.0,12.8,0.1,45.0
