Market,Date,Min_Price,Modal_Price,Max_Price,Arrival_Quantity_MT
Azadpur APMC,2026-06-30,800.0,2623.0,4000.0,441.4
Azadpur APMC,2026-06-29,800.0,2623.0,4000.0,569.3
Azadpur APMC,2026-06-26,800.0,2726.0,4000.0,548.1
Azadpur APMC,2026-06-25,800.0,2726.0,4000.0,504.8
Azadpur APMC,2026-06-24,800.0,2700.0,4800.0,520.0
Azadpur APMC,2026-06-23,800.0,2700.0,4800.0,468.0
Azadpur APMC,2026-06-22,800.0,2629.0,4400.0,469.0
Azadpur APMC,2026-06-20,1600.0,2629.0,4400.0,469.4
Azadpur APMC,2026-06-19,800.0,2629.0,4400.0,430.1
Azadpur APMC,2026-06-18,1200.0,2773.0,4800.0,383.3
Azadpur APMC,2026-06-17,800.0,2773.0,4800.0,509.8
Azadpur APMC,2026-06-16,800.0,2676.0,4800.0,446.6
Azadpur APMC,2026-06-15,800.0,2676.0,4800.0,574.6
Azadpur APMC,2026-06-12,800.0,2711.0,4800.0,532.0
Azadpur APMC,2026-06-11,1200.0,3000.0,5600.0,583.9
Azadpur APMC,2026-06-10,1200.0,3000.0,5600.0,511.2
Azadpur APMC,2026-06-09,320.0,768.0,1200.0,382.7
Azadpur APMC,2026-06-08,320.0,768.0,1200.0,372.3
Azadpur APMC,2026-06-06,320.0,752.0,1200.0,412.8
Azadpur APMC,2026-06-05,320.0,696.0,1000.0,384.8
Azadpur APMC,2026-06-04,320.0,696.0,1000.0,443.8
Azadpur APMC,2026-06-03,320.0,696.0,1000.0,549.8
Azadpur APMC,2026-07-01,800.0,2543.0,4000.0,573.0
Keshopur APMC,2026-06-30,1600.0,2250.0,3200.0,211.65
Keshopur APMC,2026-06-29,2000.0,3150.0,3600.0,146.28
Keshopur APMC,2026-06-28,1600.0,2700.0,3600.0,187.83
Keshopur APMC,2026-06-27,1600.0,2300.0,2800.0,142.15
Keshopur APMC,2026-06-26,1600.0,2200.0,2800.0,171.68
Keshopur APMC,2026-06-25,1600.0,2800.0,3600.0,159.0
Keshopur APMC,2026-06-23,2000.0,3150.0,3600.0,164.28
Keshopur APMC,2026-06-22,1600.0,2850.0,3200.0,161.13
Keshopur APMC,2026-06-21,2400.0,3450.0,4000.0,118.25
Keshopur APMC,2026-06-20,2600.0,3650.0,4400.0,143.68
Keshopur APMC,2026-06-19,2600.0,4000.0,4800.0,113.13
Keshopur APMC,2026-06-18,1600.0,2650.0,3200.0,103.6
Keshopur APMC,2026-06-16,1600.0,2650.0,3200.0,201.4
Keshopur APMC,2026-06-15,2000.0,2400.0,2800.0,162.4
Keshopur APMC,2026-06-14,1600.0,2000.0,2500.0,102.68
Keshopur APMC,2026-06-13,1600.0,2000.0,2400.0,90.45
Keshopur APMC,2026-06-12,1500.0,2000.0,2500.0,129.8
Keshopur APMC,2026-06-11,1600.0,2000.0,2500.0,118.43
Keshopur APMC,2026-06-09,1200.0,2200.0,2600.0,119.05
Keshopur APMC,2026-06-08,1200.0,2200.0,2600.0,138.58
Keshopur APMC,2026-06-07,1800.0,1850.0,2200.0,99.4
Keshopur APMC,2026-06-06,600.0,1300.0,1600.0,73.9
Keshopur APMC,2026-06-05,800.0,1600.0,1800.0,127.23
Keshopur APMC,2026-06-04,800.0,1200.0,1400.0,145.98
