date,market,arrival_qty_mt,modal_price_rs_quintal,month,season,producing_region,delhi_temp_max,delhi_temp_min,delhi_rainfall,delhi_humidity,region_temp_max,region_temp_min,region_rainfall,region_humidity
2021-01-01,Shahdara APMC,167.92,1600.0,1,winter,agra,18.0,3.5,0.0,71.5,20.1,5.0,0.0,67.5
2021-01-02,Shahdara APMC,166.75,1700.0,1,winter,agra,18.5,9.7,8.9,76.5,20.9,10.4,1.1,74.0
2021-01-03,Shahdara APMC,196.1,1600.0,1,winter,agra,21.0,12.3,4.6,78.5,21.5,12.8,7.5,78.5
2021-01-04,Keshopur APMC,167.6,2000.0,1,winter,agra,22.3,12.9,4.7,80.0,25.0,14.6,0.2,75.5
2021-01-04,Shahdara APMC,103.3,1500.0,1,winter,agra,22.3,12.9,4.7,80.0,25.0,14.6,0.2,75.5
2021-01-05,Shahdara APMC,128.87,1400.0,1,winter,agra,21.8,13.9,4.5,79.5,24.6,14.6,1.1,74.5
2021-01-06,Shahdara APMC,245.95,1500.0,1,winter,agra,21.8,13.6,1.0,81.0,22.0,13.8,4.2,83.0
2021-01-07,Azadpur APMC,666.5,1176.0,1,winter,agra,19.5,9.0,0.0,79.0,22.0,10.2,0.0,77.5
2021-01-07,Keshopur APMC,104.85,1400.0,1,winter,agra,19.5,9.0,0.0,79.0,22.0,10.2,0.0,77.5
2021-01-07,Shahdara APMC,270.85,1000.0,1,winter,agra,19.5,9.0,0.0,79.0,22.0,10.2,0.0,77.5
2021-01-08,Azadpur APMC,460.8,1213.0,1,winter,agra,19.0,9.6,0.0,80.0,19.5,10.9,9.7,83.5
2021-01-08,Keshopur APMC,241.6,1300.0,1,winter,agra,19.0,9.6,0.0,80.0,19.5,10.9,9.7,83.5
2021-01-08,Shahdara APMC,220.42,900.0,1,winter,agra,19.0,9.6,0.0,80.0,19.5,10.9,9.7,83.5
2021-01-09,Keshopur APMC,290.9,1200.0,1,winter,agra,20.0,10.5,0.0,78.5,21.7,12.7,0.0,80.5
2021-01-09,Shahdara APMC,225.95,700.0,1,winter,agra,20.0,10.5,0.0,78.5,21.7,12.7,0.0,80.5
2021-01-10,Shahdara APMC,117.44,800.0,1,winter,agra,17.7,7.3,0.0,70.0,20.1,8.3,0.0,73.5
2021-01-11,Keshopur APMC,189.57,1600.0,1,winter,agra,17.9,7.7,0.0,76.0,18.1,7.6,0.0,74.0
2021-01-11,Shahdara APMC,133.32,800.0,1,winter,agra,17.9,7.7,0.0,76.0,18.1,7.6,0.0,74.0
2021-01-12,Keshopur APMC,183.3,1400.0,1,winter,agra,18.2,6.7,0.0,73.0,19.5,5.7,0.0,71.5
2021-01-12,Shahdara APMC,206.67,900.0,1,winter,agra,18.2,6.7,0.0,73.0,19.5,5.7,0.0,71.5
2021-01-13,Shahdara APMC,174.37,900.0,1,winter,agra,18.5,5.2,0.0,71.5,19.4,5.5,0.0,69.5
2021-01-14,Shahdara APMC,151.67,700.0,1,winter,agra,18.8,4.8,0.0,71.0,19.5,5.2,0.0,70.5
2021-01-16,Shahdara APMC,142.1,1000.0,1,winter,agra,17.1,5.3,0.0,77.5,20.1,6.4,0.0,77.0
2021-01-17,Shahdara APMC,161.36,1000.0,1,winter,agra,19.0,6.7,0.0,76.0,21.4,7.3,0.0,70.0
2021-01-18,Shahdara APMC,120.17,700.0,1,winter,agra,18.1,10.1,3.0,80.5,19.8,11.3,1.1,78.0
2021-01-19,Keshopur APMC,153.05,1000.0,1,winter,agra,21.0,10.4,0.0,79.0,22.1,9.7,0.0,76.0
2021-01-19,Shahdara APMC,174.05,600.0,1,winter,agra,21.0,10.4,0.0,79.0,22.1,9.7,0.0,76.0
2021-01-20,Shahdara APMC,219.52,700.0,1,winter,agra,20.0,10.1,0.0,77.0,21.5,10.4,0.0,75.0
2021-01-21,Keshopur APMC,128.18,1000.0,1,winter,agra,20.5,7.6,0.0,69.5,22.5,7.4,0.0,66.5
2021-01-21,Shahdara APMC,197.77,900.0,1,winter,agra,20.5,7.6,0.0,69.5,22.5,7.4,0.0,66.5
2021-01-22,Keshopur APMC,131.68,900.0,1,winter,agra,21.2,7.4,0.0,70.0,22.8,7.5,0.0,67.5
2021-01-23,Keshopur APMC,235.2,900.0,1,winter,agra,21.0,8.9,0.0,74.0,22.9,9.1,0.0,72.0
2021-01-24,Keshopur APMC,292.77,800.0,1,winter,agra,19.1,6.5,0.0,71.0,20.9,8.2,0.0,78.5
2021-01-25,Shahdara APMC,175.95,1200.0,1,winter,agra,18.2,6.7,0.0,72.5,18.0,6.9,0.0,70.0
2021-01-27,Keshopur APMC,16.9,1400.0,1,winter,agra,18.8,5.8,0.0,66.5,19.6,6.4,0.0,68.5
2021-01-27,Shahdara APMC,209.47,1200.0,1,winter,agra,18.8,5.8,0.0,66.5,19.6,6.4,0.0,68.5
2021-01-28,Azadpur APMC,362.9,1076.0,1,winter,agra,18.1,5.6,0.0,68.0,19.0,5.4,0.0,71.5
2021-01-28,Keshopur APMC,123.28,1500.0,1,winter,agra,18.1,5.6,0.0,68.0,19.0,5.4,0.0,71.5
2021-01-28,Shahdara APMC,157.81,1100.0,1,winter,agra,18.1,5.6,0.0,68.0,19.0,5.4,0.0,71.5
2021-01-29,Azadpur APMC,593.5,1182.0,1,winter,agra,18.6,5.9,0.0,67.0,18.9,6.1,0.0,70.5
2021-01-29,Keshopur APMC,227.4,1100.0,1,winter,agra,18.6,5.9,0.0,67.0,18.9,6.1,0.0,70.5
2021-01-29,Shahdara APMC,146.7,1000.0,1,winter,agra,18.6,5.9,0.0,67.0,18.9,6.1,0.0,70.5
2021-01-30,Azadpur APMC,592.1,1182.0,1,winter,agra,19.0,5.9,0.0,64.0,20.1,6.4,0.0,62.5
2021-01-30,Keshopur APMC,218.28,1100.0,1,winter,agra,19.0,5.9,0.0,64.0,20.1,6.4,0.0,62.5
2021-01-30,Shahdara APMC,238.37,1300.0,1,winter,agra,19.0,5.9,0.0,64.0,20.1,6.4,0.0,62.5
2021-01-31,Keshopur APMC,177.8,1200.0,1,winter,agra,20.5,5.3,0.0,61.5,21.2,7.8,0.0,62.5
2021-01-31,Shahdara APMC,226.35,1300.0,1,winter,agra,20.5,5.3,0.0,61.5,21.2,7.8,0.0,62.5
2021-02-01,Shahdara APMC,158.15,1200.0,2,winter,agra,22.5,7.1,0.0,67.0,23.1,6.8,0.0,65.5
2021-02-02,Shahdara APMC,158.15,1000.0,2,winter,agra,23.5,7.6,0.0,66.0,24.6,7.8,0.0,65.0
2021-02-03,Azadpur APMC,418.2,1029.0,2,winter,agra,23.9,11.9,0.1,68.5,25.8,10.3,0.0,65.0
2021-02-03,Shahdara APMC,94.7,1300.0,2,winter,agra,23.9,11.9,0.1,68.5,25.8,10.3,0.0,65.0
2021-02-04,Azadpur APMC,499.9,1000.0,2,winter,agra,21.5,8.4,11.0,78.0,24.7,11.9,0.9,69.5
2021-02-04,Keshopur APMC,13.28,1200.0,2,winter,agra,21.5,8.4,11.0,78.0,24.7,11.9,0.9,69.5
2021-02-04,Shahdara APMC,154.64,1200.0,2,winter,agra,21.5,8.4,11.0,78.0,24.7,11.9,0.9,69.5
2021-02-05,Azadpur APMC,484.1,935.0,2,winter,agra,19.7,9.3,0.0,76.0,21.8,10.5,0.0,73.0
2021-02-05,Keshopur APMC,208.68,1400.0,2,winter,agra,19.7,9.3,0.0,76.0,21.8,10.5,0.0,73.0
2021-02-06,Azadpur APMC,491.0,935.0,2,winter,agra,20.0,8.8,0.0,69.0,21.1,9.9,0.0,68.5
2021-02-06,Keshopur APMC,109.97,1500.0,2,winter,agra,20.0,8.8,0.0,69.0,21.1,9.9,0.0,68.5
2021-02-06,Shahdara APMC,96.37,1300.0,2,winter,agra,20.0,8.8,0.0,69.0,21.1,9.9,0.0,68.5
2021-02-07,Keshopur APMC,230.28,1400.0,2,winter,agra,21.2,9.4,0.0,69.0,22.4,9.4,0.0,66.5
2021-02-07,Shahdara APMC,182.1,1300.0,2,winter,agra,21.2,9.4,0.0,69.0,22.4,9.4,0.0,66.5
2021-02-08,Azadpur APMC,321.3,953.0,2,winter,agra,22.4,8.6,0.0,70.5,23.5,8.8,0.0,67.0
2021-02-08,Keshopur APMC,161.4,1600.0,2,winter,agra,22.4,8.6,0.0,70.5,23.5,8.8,0.0,67.0
2021-02-08,Shahdara APMC,182.22,1600.0,2,winter,agra,22.4,8.6,0.0,70.5,23.5,8.8,0.0,67.0
2021-02-09,Azadpur APMC,436.6,953.0,2,winter,agra,24.0,10.1,0.0,66.0,25.9,9.4,0.0,64.0
2021-02-09,Keshopur APMC,138.78,1800.0,2,winter,agra,24.0,10.1,0.0,66.0,25.9,9.4,0.0,64.0
2021-02-10,Azadpur APMC,512.0,1084.0,2,winter,agra,25.3,11.8,0.0,66.5,26.6,11.2,0.0,67.0
2021-02-10,Shahdara APMC,163.83,1600.0,2,winter,agra,25.3,11.8,0.0,66.5,26.6,11.2,0.0,67.0
2021-02-11,Azadpur APMC,518.3,1051.0,2,winter,agra,24.0,11.3,0.0,70.0,26.2,10.1,0.0,66.5
2021-02-12,Azadpur APMC,535.2,1000.0,2,winter,agra,24.5,11.2,0.0,70.0,24.5,11.3,0.0,70.5
2021-02-12,Shahdara APMC,144.32,1500.0,2,winter,agra,24.5,11.2,0.0,70.0,24.5,11.3,0.0,70.5
2021-02-13,Azadpur APMC,622.7,1000.0,2,winter,agra,24.1,11.6,0.0,68.0,25.8,10.4,0.0,67.0
2021-02-13,Shahdara APMC,160.88,1800.0,2,winter,agra,24.1,11.6,0.0,68.0,25.8,10.4,0.0,67.0
2021-02-14,Keshopur APMC,157.5,1800.0,2,winter,agra,25.6,12.2,0.0,65.0,26.4,11.4,0.0,66.5
2021-02-14,Shahdara APMC,131.37,1700.0,2,winter,agra,25.6,12.2,0.0,65.0,26.4,11.4,0.0,66.5
2021-02-15,Azadpur APMC,389.1,1000.0,2,winter,agra,27.0,12.1,0.0,64.0,28.2,12.4,0.0,63.0
2021-02-15,Shahdara APMC,92.25,1400.0,2,winter,agra,27.0,12.1,0.0,64.0,28.2,12.4,0.0,63.0
2021-02-16,Azadpur APMC,441.9,975.0,2,winter,agra,26.9,11.9,0.0,66.5,28.0,12.1,0.8,65.5
2021-02-16,Shahdara APMC,316.4,1200.0,2,winter,agra,26.9,11.9,0.0,66.5,28.0,12.1,0.8,65.5
2021-02-17,Azadpur APMC,533.7,975.0,2,winter,agra,25.6,11.6,0.0,66.5,27.3,12.2,0.0,64.5
2021-02-17,Keshopur APMC,171.95,1700.0,2,winter,agra,25.6,11.6,0.0,66.5,27.3,12.2,0.0,64.5
2021-02-17,Shahdara APMC,151.8,1400.0,2,winter,agra,25.6,11.6,0.0,66.5,27.3,12.2,0.0,64.5
2021-02-18,Azadpur APMC,558.4,687.0,2,winter,agra,25.5,11.5,0.0,66.0,26.5,12.4,0.0,64.5
2021-02-18,Keshopur APMC,13.28,1900.0,2,winter,agra,25.5,11.5,0.0,66.0,26.5,12.4,0.0,64.5
2021-02-18,Shahdara APMC,227.99,1200.0,2,winter,agra,25.5,11.5,0.0,66.0,26.5,12.4,0.0,64.5
2021-02-19,Azadpur APMC,765.1,687.0,2,winter,agra,25.5,11.1,0.0,66.5,26.6,12.2,0.0,66.0
2021-02-19,Keshopur APMC,309.07,1600.0,2,winter,agra,25.5,11.1,0.0,66.5,26.6,12.2,0.0,66.0
2021-02-19,Shahdara APMC,115.74,1200.0,2,winter,agra,25.5,11.1,0.0,66.5,26.6,12.2,0.0,66.0
2021-02-20,Azadpur APMC,470.6,687.0,2,winter,agra,25.9,11.8,0.0,64.5,26.5,12.1,0.0,64.5
2021-02-20,Keshopur APMC,203.53,1500.0,2,winter,agra,25.9,11.8,0.0,64.5,26.5,12.1,0.0,64.5
2021-02-20,Shahdara APMC,251.48,1100.0,2,winter,agra,25.9,11.8,0.0,64.5,26.5,12.1,0.0,64.5
2021-02-21,Keshopur APMC,323.2,1500.0,2,winter,agra,25.9,11.7,0.0,63.5,27.2,11.1,0.0,60.0
2021-02-21,Shahdara APMC,206.7,1000.0,2,winter,agra,25.9,11.7,0.0,63.5,27.2,11.1,0.0,60.0
2021-02-22,Azadpur APMC,375.4,615.0,2,winter,agra,27.4,12.9,0.0,64.5,28.7,12.2,0.0,59.5
2021-02-22,Keshopur APMC,144.18,1500.0,2,winter,agra,27.4,12.9,0.0,64.5,28.7,12.2,0.0,59.5
2021-02-22,Shahdara APMC,239.69,1200.0,2,winter,agra,27.4,12.9,0.0,64.5,28.7,12.2,0.0,59.5
2021-02-23,Azadpur APMC,724.4,615.0,2,winter,agra,29.5,13.1,0.0,55.5,29.7,12.9,0.0,59.0
2021-02-23,Keshopur APMC,201.78,1400.0,2,winter,agra,29.5,13.1,0.0,55.5,29.7,12.9,0.0,59.0
